"filename", "language", "Python", "JSON", "Cython", "Ini", "comment", "blank", "total"
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/point/global_calculator.py", "Python", 193, 0, 0, 0, 0, 44, 237
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/point/util.py", "Python", 211, 0, 0, 0, 3, 38, 252
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/run_config.ini", "Ini", 0, 0, 0, 41, 0, 56, 97
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/__init__.py", "Python", 590, 0, 0, 0, 4, 152, 746
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/coordinate.py", "Python", 166, 0, 0, 0, 0, 44, 210
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/coordinate.pyi", "Python", 49, 0, 0, 0, 0, 16, 65
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/coordinate_plugins/__init__.py", "Python", 1, 0, 0, 0, 0, 1, 2
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/coordinate_plugins/_rotation_eular_util.py", "Python", 84, 0, 0, 0, 0, 20, 104
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/coordinate_plugins/euler_shift.py", "Python", 220, 0, 0, 0, 0, 44, 264
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/fns.py", "Python", 164, 0, 0, 0, 6, 26, 196
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/geometry.py", "Python", 239, 0, 0, 0, 0, 57, 296
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/geometry.pyi", "Python", 109, 0, 0, 0, 0, 30, 139
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/geometry_plugins/__init__.py", "Python", 2, 0, 0, 0, 0, 1, 3
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/geometry_plugins/_ellipsoid_s_util.py", "Python", 351, 0, 0, 0, 4, 44, 399
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/geometry_plugins/_ellipsoid_util.py", "Python", 485, 0, 0, 0, 6, 59, 550
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/geometry_plugins/_ellipsoid_util_cy.pyx", "Cython", 0, 0, 156, 0, 3, 40, 199
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/geometry_plugins/ellipsoid.py", "Python", 254, 0, 0, 0, 0, 45, 299
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/geometry_plugins/ellipsoid_s.py", "Python", 215, 0, 0, 0, 0, 37, 252
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/minimize_func.py", "Python", 67, 0, 0, 0, 2, 21, 90
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/shape/with_parameter.py", "Python", 141, 0, 0, 0, 6, 35, 182
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/util/__init__.py", "Python", 1, 0, 0, 0, 0, 1, 2
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/util/array_operate.py", "Python", 165, 0, 0, 0, 21, 30, 216
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/util/error_handling.py", "Python", 119, 0, 0, 0, 9, 25, 153
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/util/func_cache.py", "Python", 17, 0, 0, 0, 1, 9, 27
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/util/func_decorator.py", "Python", 173, 0, 0, 0, 6, 49, 228
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/util/func_signature.py", "Python", 461, 0, 0, 0, 42, 91, 594
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/util/string_format.py", "Python", 284, 0, 0, 0, 0, 60, 344
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/visualization/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/visualization/data_model_residual.py", "Python", 456, 0, 0, 0, 2, 46, 504
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/visualization/hist2d.py", "Python", 268, 0, 0, 0, 4, 52, 324
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/visualization/model_projector.py", "Python", 276, 0, 0, 0, 1, 50, 327
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/visualization/model_projector.pyi", "Python", 42, 0, 0, 0, 0, 17, 59
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/visualization/model_projector_plugins/__init__.py", "Python", 2, 0, 0, 0, 0, 1, 3
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/visualization/model_projector_plugins/projector_line_integration.py", "Python", 72, 0, 0, 0, 0, 24, 96
"/home/yxi/Simulation/TNG50_try/gal3d_develop/gal3d/src/gal3d/visualization/model_projector_plugins/projector_sph_grid.py", "Python", 59, 0, 0, 0, 0, 20, 79
"Total", "-", 10961, 64, 156, 53, 169, 2411, 13814
